Unnamed: 0,City,Country,Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors,latitude,longitude,mean
0,Aarhus, Denmark,Europe,6.1315,4.015000000000001,2.827000000000001,2.512,3.5360000000000005,6.31175,9.94,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,9.738500000000002,4.13,56.1496278,10.2134046,6.0
1,Adelaide, Australia,Oceania,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666668,7.926000000000001,7.936666666666666,5.142,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.531000000000001,-34.9281805,138.5999312,5.61
2,Albuquerque, New Mexico,North America,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155,35.21287095,-106.71324849574629,4.99
3,Almaty, Kazakhstan,Asia,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999,43.2363924,76.9457275,5.11
4,Amsterdam, Netherlands,Europe,3.0529999999999995,3.8240000000000007,7.971500000000001,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,8.368,5.307,52.3727598,4.8936041,6.56
5,Anchorage, Alaska,North America,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999999,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005,61.2163129,-149.894852,4.76
6,Andorra,Andorra,Europe,3.969,0.0,1.0,0.0,0.5,0.0,0.0,9.5535,0.0,0.0,7.256,0.0,4.475,7.186,2.132,8.7035,3.5885,42.5407167,1.5732033,2.85
7,Ankara, Turkey,Asia,9.928,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333333,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465,39.9207886,32.8540482,4.98
8,Asheville, North Carolina,North America,5.855999999999999,5.311,3.5405,0.0,1.2095,1.358,8.671,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655,35.6009498,-82.5540161,4.77
9,Asuncion, Paraguay,South America,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.684,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006,-25.2800459,-57.6343814,4.53
10,Athens, Greece,Europe,9.052499999999998,6.5,4.404,2.325,3.707,5.21975,6.168999999999999,6.7585,7.153,3.1625,3.80225,3.3199999999999994,4.1665,2.228,7.876000000000001,6.268000000000001,6.483,37.9839412,23.7283052,5.22
11,Atlanta, Georgia,North America,4.9755,5.241,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,4.062,5.0095,33.7489924,-84.3902644,5.84
12,Auckland, New Zealand,Oceania,4.72,4.470000000000001,4.588000000000001,2.79,1.3045000000000004,4.845000000000001,10.0,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,7.402000000000001,5.862,-36.852095,174.7631803,5.72
13,Austin, Texas,North America,4.3345,5.355,9.236,6.939000000000001,1.8515000000000004,4.3305,8.671,5.069,6.281666666666666,5.315000000000001,7.03075,6.5145,4.772,9.049,6.698,6.7895,3.909,30.2711286,-97.7436995,6.01
